Part #,awg,strands/awg,conductor_material,insulation_material,insulation_thickness,insulation_od,conductor_od,weight/length,Voltage(DC)
,,,,,mm,mm,mm,kg/km,kV
961-003-T-A-8,12,7x37/36,copper,duralectric-d,,5.66,2.51,59.82,4200
961-003-T-B-8,10,7x59/36,copper,duralectric-d,,6.36,3.2,83.63,4200
961-003-T-C-8,8,7x95/36,copper,duralectric-d,,7.19,4.04,120.54,4200
961-003-T-D-8,6,7x150/36,copper,duralectric-d,,8.23,5.08,175.45,4200
961-003-T-E-8,4,7x7x34/36,copper,duralectric-d,,10.03,6.88,272.04,4200
961-003-T-F-8,2,7x7x54/36,copper,duralectric-d,,11.84,8.69,410.58,4200
