AWG Size,Stranding,Type,Construction,material,OD,Area,Weight,Breaking Strength,Resistance,,
,,,,,mm,mm^2,kg/km,kgf,Ohms/km,,,,,,
20,1,S,Solid,copper,0.813,0.52,4.6,12.8,33.9,,
20,7/28,C,7/28,copper,0.96,0.56,5.2,13.9,32,,
20,10/30,B,10/30,copper,0.927,0.51,4.6,12.5,35.4,,
20,19/32,C,19/32,copper,1.016,0.62,5.6,15.2,29.6,,
20,20/33,B,20/33,copper,0.932,0.51,4.6,32,35.4,,
20,26/34,B,26/34,copper,0.942,0.52,4.7,12.9,34.7,,
20,41/36,B,41/36,copper,0.94,0.52,4.7,12.8,35.3,,
20,42/36,RB,7x6/36,copper,1.046,0.53,5.1,33.1,36.1,,
20,65/38,B,65/38,copper,0.945,0.53,1.8,33,35.1,,
20,104/40,B,104/40,copper,0.927,0.51,4.6,32.5,37.1,,
20,105/40,RB,7x15/40,copper,1.026,0.51,4.9,12.6,38.5,,
20,154/42,RB,7x22/42,copper,1.001,0.49,4,2,41.1,,
20,266/44,RB,7x38/44,copper,1.05,0.54,5.1,13.3,38,,
18,1,S,Solid,copper,1.02,0.82,7.3,20.3,21.4,,
18,7/26,C,7/26,copper,1.21,0.9,8.2,22.1,20.3,,
18,10/28,B,10/28,copper,1.17,0.8,7.3,19.8,22.2,,
18,16/30,B,16/30,copper,1.17,0.81,7.4,20,22.1,,
18,19/30,C,19/30,copper,1.27,0.96,8.8,23.7,18.8,,
18,32/33,B,32/33,copper,1.18,0.82,7.4,20.1,22.1,,
18,41/34,B,41/34,copper,1.18,0.82,7.5,20.3,22,,
18,63/36,RB,7x9/36,copper,1.28,0.8,7.6,19.6,24.1,,
18,65/36,B,65/36,copper,1.18,0.82,7.5,20.3,22.2,,
18,105/38,RB,7x15/38,copper,1.32,0.85,8.1,20.9,22.8,,
18,168/40,RB,7x25/40,copper,1.3,0.84,7.8,20.1,24.1,,
18,259/42,RB,7x37/42,copper,1.3,0.82,7.8,20.2,24.4,,
18,413/44,RB,7x59/44,copper,1.31,0.84,8,20.6,24.4,,
16,1,S,Solid,copper,1.29,1.31,11.6,32.2,13.5,,
16,7/24,C,7/24,copper,1.53,1.43,13.1,35.3,12.6,,
16,16/28,B,16/28,copper,1.48,1.29,11.7,31.7,33.9,,
16,19/29,C,19/29,copper,1.44,1.23,11.3,30.3,14.7,,
16,26/30,B,26/30,copper,1.5,1.32,11.9,32.4,33.6,,
16,40/32,B,40/32,copper,1.48,1.3,11.8,31.9,13.9,,
16,42/32,RB,7x6/32,copper,1.67,1.36,13,33.5,13.9,,
16,50/33,B,50/33,copper,1.47,1.28,11.6,31.4,14.2,,
16,65/34,B,65/34,copper,1.49,1.31,11.8,32.2,13.9,,
16,105/36,B,105/36,copper,1.5,1.33,12.1,32.7,13.8,,
16,105/36,RB,7x15/36,copper,1.65,1.33,12.7,32.7,14.5,,
16,168/38,RB,7x24/38,copper,1.67,1.36,13,33.5,14.3,,
16,259/40,RB,7x37/40,copper,1.61,1.26,12,31,15.6,,
16,264/40,RB,4x66/40,copper,1.63,1.29,12.2,31.6,15.3,,
16,280/40,RB,7x40/40,copper,1.67,1.36,13,33.6,14.5,,
16,665/44,RB,7x95/44,copper,1.66,1.35,12.8,33.2,15.2,,
16,714/44,RB,7x7x34/44,copper,1.88,1.45,14.5,35.6,14.9,,
14,1,S,Solid,copper,1.63,2.08,16.2,41.5,11.5,,
14,7/22,C,7/22,copper,1.93,2.27,20.8,55.9,8.01,,
14,7/22,C,7/22,copper,1.93,2.27,17.7,45.8,10.3,,
14,19/27,C,19/27,copper,1.8,1.94,16.2,41.9,11.6,,
14,19/27,C,19/27,copper,1.8,1.94,17.8,47.8,9.28,,
14,26/28,B,26/28,copper,1.88,2.09,19,51.5,8.54,,
14,26/28,B,26/28,copper,1.88,2.09,17.1,42.2,12.1,,
14,37/30,C,37/30,copper,1.78,1.88,17.2,46.1,9.69,,
